player_id,player_name,position,team,model_score,position_rank,recommendation
8136,"Rachaad White",RB,WAS,39.6,45,SIT
9508,"Tyjae Spears",RB,TEN,39.5,46,SIT
7594,"Chuba Hubbard",RB,CAR,39.3,47,SIT
11581,"MarShawn Lloyd",RB,GB,37.9,48,SIT
13286,"Jadarian Price",RB,SEA,37.5,49,SIT
8205,"Isiah Pacheco",RB,DET,37.1,50,SIT
12472,"Raheim Sanders",RB,CLE,37.1,51,SIT
11589,"Trey Benson",RB,ARI,36.6,52,SIT
11643,"Jaylen Wright",RB,MIA,36.2,53,SIT
13414,"Kaelon Black",RB,SF,35.5,54,SIT
6130,"Devin Singletary",RB,NYG,35,55,SIT
4147,"Samaje Perine",RB,CIN,35,56,SIT
11583,"Jonathon Brooks",RB,CAR,34.8,57,SIT
13287,"Jeremiyah Love",RB,ARI,34.2,58,SIT
11435,"Emanuel Wilson",RB,SEA,33.8,59,SIT
12457,"Jaydon Blue",RB,PHI,33.3,60,SIT
8132,"Tyler Allgeier",RB,ARI,33.2,61,SIT
8181,"Connor Heyward",RB,LV,32.8,62,SIT
13305,"Mike Washington",RB,LV,32.8,63,SIT
13345,"Jonah Coleman",RB,DEN,32.6,64,SIT
11576,"Braelon Allen",RB,NYJ,32.3,65,SIT
9757,"Kendre Miller",RB,NO,32.2,66,SIT
13424,"Seth McGowan",RB,IND,31.9,67,SIT
13302,"Adam Randall",RB,BAL,31.8,68,SIT
9225,"Tank Bigsby",RB,PHI,31.7,69,SIT
12467,"Jordan James",RB,SF,31.5,70,SIT
13337,"Emmett Johnson",RB,KC,31.3,71,SIT
12495,"Ollie Gordon",RB,MIA,31.3,72,SIT
12490,"Bhayshul Tuten",RB,JAX,30.9,73,SIT
13347,"Demond Claiborne",RB,MIN,30.8,74,SIT
8154,"Brian Robinson",RB,ATL,30.6,75,SIT
8800,"Malik Davis",RB,DAL,30.6,76,SIT
12469,"Dylan Sampson",RB,CLE,30.5,77,SIT
13288,"Nicholas Singleton",RB,TEN,30.4,78,SIT
11571,"Isaiah Davis",RB,NYJ,29.7,79,SIT
11439,"Jaleel McLaughlin",RB,CLE,29.7,80,SIT
11199,"Emari Demercado",RB,DAL,29.4,81,SIT
9511,"Keaton Mitchell",RB,LAC,29,82,SIT
13047,"Jacardia Wright",RB,SEA,28.8,83,SIT
11575,"Ray Davis",RB,BUF,28.1,84,SIT
6039,"Ty Johnson",RB,BUF,27.8,85,SIT
11299,"Zavier Scott",RB,CHI,27.2,86,SIT
9510,"Lew Nichols",RB,PIT,26.8,87,SIT
12544,"LeQuint Allen",RB,JAX,26.4,88,SIT
4219,"Jeremy McNichols",RB,WAS,26.1,89,SIT
8139,"Zamir White",RB,NO,25.7,90,SIT
9506,"Sean Tucker",RB,TB,25.6,91,SIT
8230,"Ty Chandler",RB,NO,25.5,92,SIT
12504,"Kaleb Johnson",RB,GB,25.4,93,SIT
9220,"Evan Hull",RB,ARI,24.7,94,SIT
12928,"Amar Johnson",RB,LAC,24.4,95,SIT
5995,"Justice Hill",RB,BAL,24.4,96,SIT
12171,"British Brooks",RB,HOU,24.2,97,SIT
12491,"Corey Kiner",RB,NE,24.1,98,SIT
11370,"Chris Brooks",RB,GB,23.9,99,SIT
12897,"Nate Carter",RB,KC,23.9,100,SIT
6828,"AJ Dillon",RB,CAR,23.7,101,SIT
7528,"Najee Harris",RB,NYG,23.7,102,SIT
8423,"Brittain Brown",RB,CHI,23.3,103,SIT
8129,"Dameon Pierce",RB,PHI,22.4,104,SIT
12048,"George Holani",RB,SEA,22.4,105,SIT
4718,"Dare Ogunbowale",RB,LV,22,106,SIT
12455,"Brashard Smith",RB,KC,21.9,107,SIT
11570,"Rasheen Ali",RB,BAL,21.7,108,SIT
11649,"Kendall Milton",RB,CIN,21.2,109,SIT
8195,"Ronnie Rivers",RB,LAR,20.8,110,SIT
6659,"Craig Reynolds",RB,WAS,20.4,111,SIT
11237,"Jacob Saylors",RB,DET,20.3,112,SIT
11577,"Will Shipley",RB,PHI,20,113,SIT
8207,"Tyler Goodson",RB,ATL,19.8,114,SIT
12516,"Kalel Mullings",RB,TEN,19.6,115,SIT
8123,"Hassan Haskins",RB,NE,19.5,116,SIT
12787,"Josh Williams",RB,TB,19.5,117,SIT
11729,"Sione Vaki",RB,DET,19.5,118,SIT
12471,"DJ Giddens",RB,IND,19.2,119,SIT
12543,"Tahj Brooks",RB,CIN,19.2,120,SIT
11280,"Brady Russell",RB,SEA,18.7,121,SIT
8254,"Julius Chestnut",RB,TEN,18,122,SIT
7593,"Trey Sermon",RB,ATL,17.9,123,SIT
11651,"Isaac Guerendo",RB,SF,17.8,124,SIT
10235,"Roschon Johnson",RB,CHI,17.2,125,SIT
12656,"Robbie Ouzts",RB,SEA,17,126,SIT
2359,"Ameer Abdullah",RB,JAX,16.9,127,SIT
7204,"Reggie Gilliam",RB,NE,16.9,128,SIT
8208,"Tyler Badie",RB,DEN,16.9,129,SIT
11574,"Dylan Laube",RB,LV,16,130,SIT
6931,"DeeJay Dallas",RB,MIN,15.7,131,SIT
12531,"Trevor Etienne",RB,CAR,15.5,132,SIT
7720,"Kene Nwangwu",RB,NYJ,14.7,133,SIT
6012,"Travis Homer",RB,PIT,14.7,134,SIT
9493,"Puka Nacua",WR,LAR,69.6,1,START
7564,"Ja'Marr Chase",WR,CIN,61.4,2,START
8144,"Chris Olave",WR,NO,61.1,3,START
7547,"Amon-Ra St. Brown",WR,DET,58.7,4,START
